movieId,title,genres
1,Movie 1,Action
2,Movie 2,Comedy
3,Movie 3,Horror
4,Movie 4,Drama
5,Movie 5,Romance
6,Movie 6,Comedy
7,Movie 7,Romance
8,Movie 8,Horror
9,Movie 9,Romance
10,Movie 10,Horror
11,Movie 11,Drama
12,Movie 12,Action
13,Movie 13,Horror
14,Movie 14,Action
15,Movie 15,Romance
16,Movie 16,Comedy
17,Movie 17,Comedy
18,Movie 18,Action
19,Movie 19,Comedy
20,Movie 20,Action
21,Movie 21,Drama
22,Movie 22,Comedy
23,Movie 23,Drama
24,Movie 24,Horror
25,Movie 25,Action
26,Movie 26,Action
27,Movie 27,Drama
28,Movie 28,Comedy
29,Movie 29,Drama
30,Movie 30,Romance
31,Movie 31,Romance
32,Movie 32,Comedy
33,Movie 33,Horror
34,Movie 34,Romance
35,Movie 35,Romance
36,Movie 36,Comedy
37,Movie 37,Romance
38,Movie 38,Comedy
39,Movie 39,Romance
40,Movie 40,Action
41,Movie 41,Comedy
42,Movie 42,Drama
43,Movie 43,Drama
44,Movie 44,Drama
45,Movie 45,Comedy
46,Movie 46,Comedy
47,Movie 47,Romance
48,Movie 48,Drama
49,Movie 49,Romance
50,Movie 50,Drama
51,Movie 51,Action
52,Movie 52,Horror
53,Movie 53,Comedy
54,Movie 54,Horror
55,Movie 55,Drama
56,Movie 56,Action
57,Movie 57,Drama
58,Movie 58,Action
59,Movie 59,Action
60,Movie 60,Drama
61,Movie 61,Action
62,Movie 62,Action
63,Movie 63,Action
64,Movie 64,Horror
65,Movie 65,Comedy
66,Movie 66,Horror
67,Movie 67,Action
68,Movie 68,Drama
69,Movie 69,Action
70,Movie 70,Comedy
71,Movie 71,Romance
72,Movie 72,Drama
73,Movie 73,Horror
74,Movie 74,Action
75,Movie 75,Horror
76,Movie 76,Action
77,Movie 77,Romance
78,Movie 78,Drama
79,Movie 79,Action
80,Movie 80,Horror
81,Movie 81,Drama
82,Movie 82,Drama
83,Movie 83,Drama
84,Movie 84,Action
85,Movie 85,Horror
86,Movie 86,Comedy
87,Movie 87,Action
88,Movie 88,Drama
89,Movie 89,Horror
90,Movie 90,Drama
91,Movie 91,Action
92,Movie 92,Comedy
93,Movie 93,Romance
94,Movie 94,Horror
95,Movie 95,Comedy
96,Movie 96,Comedy
97,Movie 97,Comedy
98,Movie 98,Action
99,Movie 99,Drama
100,Movie 100,Romance
101,Movie 101,Horror
102,Movie 102,Romance
103,Movie 103,Action
104,Movie 104,Action
105,Movie 105,Romance
106,Movie 106,Comedy
107,Movie 107,Drama
108,Movie 108,Romance
109,Movie 109,Drama
110,Movie 110,Action
111,Movie 111,Horror
112,Movie 112,Action
113,Movie 113,Action
114,Movie 114,Romance
115,Movie 115,Action
116,Movie 116,Horror
117,Movie 117,Romance
118,Movie 118,Horror
119,Movie 119,Horror
120,Movie 120,Comedy
121,Movie 121,Drama
122,Movie 122,Romance
123,Movie 123,Horror
124,Movie 124,Romance
125,Movie 125,Action
126,Movie 126,Drama
127,Movie 127,Horror
128,Movie 128,Romance
129,Movie 129,Comedy
130,Movie 130,Drama
131,Movie 131,Action
132,Movie 132,Romance
133,Movie 133,Action
134,Movie 134,Comedy
135,Movie 135,Drama
136,Movie 136,Drama
137,Movie 137,Romance
138,Movie 138,Romance
139,Movie 139,Romance
140,Movie 140,Horror
141,Movie 141,Comedy
142,Movie 142,Action
143,Movie 143,Romance
144,Movie 144,Action
145,Movie 145,Horror
146,Movie 146,Drama
147,Movie 147,Drama
148,Movie 148,Action
149,Movie 149,Comedy
150,Movie 150,Romance
151,Movie 151,Romance
152,Movie 152,Comedy
153,Movie 153,Romance
154,Movie 154,Horror
155,Movie 155,Comedy
156,Movie 156,Romance
157,Movie 157,Comedy
158,Movie 158,Drama
159,Movie 159,Comedy
160,Movie 160,Drama
161,Movie 161,Comedy
162,Movie 162,Action
163,Movie 163,Action
164,Movie 164,Drama
165,Movie 165,Action
166,Movie 166,Action
167,Movie 167,Drama
168,Movie 168,Drama
169,Movie 169,Comedy
170,Movie 170,Romance
171,Movie 171,Drama
172,Movie 172,Comedy
173,Movie 173,Romance
174,Movie 174,Romance
175,Movie 175,Action
176,Movie 176,Drama
177,Movie 177,Action
178,Movie 178,Drama
179,Movie 179,Drama
180,Movie 180,Drama
181,Movie 181,Drama
182,Movie 182,Action
183,Movie 183,Drama
184,Movie 184,Romance
185,Movie 185,Drama
186,Movie 186,Romance
187,Movie 187,Horror
188,Movie 188,Drama
189,Movie 189,Action
190,Movie 190,Romance
191,Movie 191,Drama
192,Movie 192,Action
193,Movie 193,Comedy
194,Movie 194,Drama
195,Movie 195,Horror
196,Movie 196,Romance
197,Movie 197,Action
198,Movie 198,Horror
199,Movie 199,Romance
200,Movie 200,Action
201,Movie 201,Action
202,Movie 202,Action
203,Movie 203,Romance
204,Movie 204,Horror
205,Movie 205,Drama
206,Movie 206,Horror
207,Movie 207,Drama
208,Movie 208,Drama
209,Movie 209,Romance
210,Movie 210,Drama
211,Movie 211,Action
212,Movie 212,Comedy
213,Movie 213,Horror
214,Movie 214,Comedy
215,Movie 215,Romance
216,Movie 216,Horror
217,Movie 217,Horror
218,Movie 218,Romance
219,Movie 219,Action
220,Movie 220,Drama
221,Movie 221,Comedy
222,Movie 222,Horror
223,Movie 223,Horror
224,Movie 224,Action
225,Movie 225,Action
226,Movie 226,Action
227,Movie 227,Horror
228,Movie 228,Action
229,Movie 229,Drama
230,Movie 230,Romance
231,Movie 231,Horror
232,Movie 232,Comedy
233,Movie 233,Drama
234,Movie 234,Romance
235,Movie 235,Action
236,Movie 236,Action
237,Movie 237,Romance
238,Movie 238,Action
239,Movie 239,Drama
240,Movie 240,Horror
241,Movie 241,Drama
242,Movie 242,Comedy
243,Movie 243,Romance
244,Movie 244,Comedy
245,Movie 245,Romance
246,Movie 246,Romance
247,Movie 247,Horror
248,Movie 248,Horror
249,Movie 249,Action
250,Movie 250,Comedy
251,Movie 251,Action
252,Movie 252,Drama
253,Movie 253,Horror
254,Movie 254,Horror
255,Movie 255,Drama
256,Movie 256,Comedy
257,Movie 257,Drama
258,Movie 258,Comedy
259,Movie 259,Drama
260,Movie 260,Comedy
261,Movie 261,Action
262,Movie 262,Horror
263,Movie 263,Comedy
264,Movie 264,Romance
265,Movie 265,Action
266,Movie 266,Drama
267,Movie 267,Horror
268,Movie 268,Horror
269,Movie 269,Romance
270,Movie 270,Comedy
271,Movie 271,Drama
272,Movie 272,Drama
273,Movie 273,Horror
274,Movie 274,Romance
275,Movie 275,Drama
276,Movie 276,Comedy
277,Movie 277,Horror
278,Movie 278,Romance
279,Movie 279,Romance
280,Movie 280,Drama
281,Movie 281,Horror
282,Movie 282,Horror
283,Movie 283,Drama
284,Movie 284,Action
285,Movie 285,Drama
286,Movie 286,Drama
287,Movie 287,Horror
288,Movie 288,Romance
289,Movie 289,Horror
290,Movie 290,Action
291,Movie 291,Horror
292,Movie 292,Drama
293,Movie 293,Drama
294,Movie 294,Action
295,Movie 295,Action
296,Movie 296,Comedy
297,Movie 297,Romance
298,Movie 298,Comedy
299,Movie 299,Comedy
300,Movie 300,Comedy
301,Movie 301,Comedy
302,Movie 302,Action
303,Movie 303,Comedy
304,Movie 304,Horror
305,Movie 305,Comedy
306,Movie 306,Romance
307,Movie 307,Comedy
308,Movie 308,Action
309,Movie 309,Horror
310,Movie 310,Drama
311,Movie 311,Romance
312,Movie 312,Horror
313,Movie 313,Horror
314,Movie 314,Action
315,Movie 315,Action
316,Movie 316,Romance
317,Movie 317,Horror
318,Movie 318,Comedy
319,Movie 319,Drama
320,Movie 320,Drama
321,Movie 321,Drama
322,Movie 322,Drama
323,Movie 323,Romance
324,Movie 324,Romance
325,Movie 325,Comedy
326,Movie 326,Drama
327,Movie 327,Action
328,Movie 328,Drama
329,Movie 329,Action
330,Movie 330,Romance
331,Movie 331,Romance
332,Movie 332,Drama
333,Movie 333,Action
334,Movie 334,Drama
335,Movie 335,Action
336,Movie 336,Drama
337,Movie 337,Horror
338,Movie 338,Comedy
339,Movie 339,Horror
340,Movie 340,Action
341,Movie 341,Romance
342,Movie 342,Drama
343,Movie 343,Romance
344,Movie 344,Horror
345,Movie 345,Drama
346,Movie 346,Horror
347,Movie 347,Horror
348,Movie 348,Action
349,Movie 349,Romance
350,Movie 350,Horror
351,Movie 351,Action
352,Movie 352,Horror
353,Movie 353,Comedy
354,Movie 354,Horror
355,Movie 355,Romance
356,Movie 356,Action
357,Movie 357,Drama
358,Movie 358,Horror
359,Movie 359,Action
360,Movie 360,Horror
361,Movie 361,Drama
362,Movie 362,Horror
363,Movie 363,Horror
364,Movie 364,Comedy
365,Movie 365,Romance
366,Movie 366,Drama
367,Movie 367,Comedy
368,Movie 368,Comedy
369,Movie 369,Romance
370,Movie 370,Romance
371,Movie 371,Comedy
372,Movie 372,Romance
373,Movie 373,Horror
374,Movie 374,Romance
375,Movie 375,Horror
376,Movie 376,Horror
377,Movie 377,Drama
378,Movie 378,Romance
379,Movie 379,Horror
380,Movie 380,Horror
381,Movie 381,Action
382,Movie 382,Horror
383,Movie 383,Comedy
384,Movie 384,Comedy
385,Movie 385,Comedy
386,Movie 386,Drama
387,Movie 387,Romance
388,Movie 388,Action
389,Movie 389,Action
390,Movie 390,Action
391,Movie 391,Drama
392,Movie 392,Comedy
393,Movie 393,Action
394,Movie 394,Romance
395,Movie 395,Comedy
396,Movie 396,Action
397,Movie 397,Horror
398,Movie 398,Action
399,Movie 399,Horror
400,Movie 400,Drama
401,Movie 401,Drama
402,Movie 402,Action
403,Movie 403,Drama
404,Movie 404,Romance
405,Movie 405,Action
406,Movie 406,Action
407,Movie 407,Drama
408,Movie 408,Drama
409,Movie 409,Horror
410,Movie 410,Horror
411,Movie 411,Romance
412,Movie 412,Action
413,Movie 413,Drama
414,Movie 414,Romance
415,Movie 415,Comedy
416,Movie 416,Comedy
417,Movie 417,Action
418,Movie 418,Action
419,Movie 419,Drama
420,Movie 420,Drama
421,Movie 421,Drama
422,Movie 422,Romance
423,Movie 423,Drama
424,Movie 424,Romance
425,Movie 425,Comedy
426,Movie 426,Comedy
427,Movie 427,Comedy
428,Movie 428,Horror
429,Movie 429,Drama
430,Movie 430,Romance
431,Movie 431,Comedy
432,Movie 432,Drama
433,Movie 433,Romance
434,Movie 434,Comedy
435,Movie 435,Drama
436,Movie 436,Horror
437,Movie 437,Horror
438,Movie 438,Horror
439,Movie 439,Romance
440,Movie 440,Drama
441,Movie 441,Drama
442,Movie 442,Drama
443,Movie 443,Romance
444,Movie 444,Comedy
445,Movie 445,Action
446,Movie 446,Horror
447,Movie 447,Horror
448,Movie 448,Comedy
449,Movie 449,Action
450,Movie 450,Romance
451,Movie 451,Romance
452,Movie 452,Action
453,Movie 453,Drama
454,Movie 454,Romance
455,Movie 455,Action
456,Movie 456,Action
457,Movie 457,Action
458,Movie 458,Horror
459,Movie 459,Horror
460,Movie 460,Romance
461,Movie 461,Comedy
462,Movie 462,Romance
463,Movie 463,Drama
464,Movie 464,Horror
465,Movie 465,Drama
466,Movie 466,Action
467,Movie 467,Comedy
468,Movie 468,Romance
469,Movie 469,Action
470,Movie 470,Action
471,Movie 471,Drama
472,Movie 472,Romance
473,Movie 473,Action
474,Movie 474,Horror
475,Movie 475,Romance
476,Movie 476,Horror
477,Movie 477,Action
478,Movie 478,Comedy
479,Movie 479,Romance
480,Movie 480,Drama
481,Movie 481,Romance
482,Movie 482,Horror
483,Movie 483,Horror
484,Movie 484,Comedy
485,Movie 485,Drama
486,Movie 486,Action
487,Movie 487,Action
488,Movie 488,Action
489,Movie 489,Horror
490,Movie 490,Action
491,Movie 491,Romance
492,Movie 492,Drama
493,Movie 493,Action
494,Movie 494,Romance
495,Movie 495,Action
496,Movie 496,Action
497,Movie 497,Action
498,Movie 498,Action
499,Movie 499,Romance
500,Movie 500,Romance
